*,<p>Responsabilidad limitada.</p>,,
,<p>Usted es dueño de los bienes de la compañía.</p>,,
,<p>Los gastos comerciales y personales deben separarse.</p>,,
,<p>Responsabilidad directa sobre el negocio.</p>,,
<p><strong></strong>Cuál es una desventaja de una sociedad?</p>,1,"one, shuffle","Una desventaja significativa de una sociedad es que los socios son personalmente responsables por las deudas del negocio, lo que puede poner en riesgo sus activos personales. Consulta el Capítulo 2, página 2-2."
*,<p>Responsabilidad personal ilimitada de los socios generales.</p>,,
,<p>Flexibilidad en la gestión.</p>,,
,<p>Facilidad para formar la entidad.</p>,,
,<p>Distribución de ganancias y pérdidas.</p>,,
<p>Cuál de las siguientes NO ES una ventaja de una Compañía de Responsabilidad Limitada (LLC)?</p>,1,"one, shuffle","Una LLC proporciona a sus propietarios responsabilidad limitada y flexibilidad en la gestión, pero no proporciona facilidad en la transferencia de propiedad, lo que puede ser más complejo en comparación con otras estructuras. Consulta el Capítulo 2, página 2-4."
,<p>Documentación limitada.</p>,,
,<p>No hay divulgación pública de las finanzas.</p>,,
*,<p>Facilidad en la transferencia de propiedad.</p>,,
,<p>Capacidad para delegar la gerencia a una persona que no sea miembro.</p>,,
<p>Cuál de las siguientes NO ES una desventaja de las sociedades?</p>,1,"one, shuffle","Las sociedades tienen varias desventajas, incluyendo la responsabilidad personal por las deudas del negocio y la posible dificultad en la transferencia de propiedad. Sin embargo, una ventaja es la flexibilidad en la gestión. Consulta el Capítulo 2, página 2-2."
,<p>Responsabilidad personal.</p>,,
,<p>Dificultad en cambios a los socios o al contrato de la sociedad.</p>,,
*,<p>Flexibilidad en la gestión.</p>,,
,<p>Posible conflicto entre socios.</p>,,
<p>Cuál es una ventaja de una Compañía de Responsabilidad Limitada (LLC)?</p>,1,"one, shuffle","Una ventaja importante de una LLC es que ofrece responsabilidad limitada a sus propietarios, protegiendo sus activos personales en caso de que el negocio enfrente problemas legales o financieros. Consulta el Capítulo 2, página 2-4."
*,<p>Responsabilidad limitada para gerentes y miembros.</p>,,
,<p>Complejidad en la administración.</p>,,
,<p>Dificultad en la transferencia de propiedad.</p>,,
,<p>Mayores costos iniciales.</p>,,
<p>¿Cuál de las siguientes no es una característica de una corporación de tipo S?</p>,1,"one, shuffle","Las corporaciones de tipo S permiten a los accionistas evitar la doble imposición de los ingresos. No obstante, no se caracterizan por tener responsabilidad ilimitada, ya que ofrecen responsabilidad limitada similar a otras corporaciones. Consulta el Capítulo 2, página 2-4."
,Permitir a los accionistas evitar la doble imposición,,
,Flexibilidad fiscal,,
*,<p>Responsabilidad ilimitada para los accionistas</p>,,
,Limitar el número de accionistas,,
¿Cuál es una desventaja de las corporaciones en general?,1,"one, shuffle","Una desventaja significativa de las corporaciones es la doble imposición, donde los ingresos de la corporación son gravados tanto a nivel corporativo como a nivel de los accionistas. Consulta el Capítulo 2, página 2-3."
*,<p>Doble imposición de los ingresos</p>,,
,Facilidad para transferir propiedad,,
,Responsabilidad limitada,,
,Flexibilidad fiscal,,
<p>¿Cuál de las siguientes no es una ventaja de un propietario único?</p>,1,"one, shuffle","Ser propietario único no proporciona protección legal limitada; más bien, el propietario tiene responsabilidad ilimitada. Las ventajas incluyen simplicidad en la administración y control total del negocio. Consulta el Capítulo 2, página 2-1."
*,Protección legal limitada,,
,Control total del negocio,,
,Simplicidad en la administración,,
,Responsabilidad directa sobre el negocio,,
¿Cuál es una característica de una sociedad?,1,"one, shuffle","Una característica fundamental de una sociedad es que todos los socios comparten la responsabilidad de las deudas y obligaciones del negocio, lo que puede implicar un riesgo para los activos personales. Consulta el Capítulo 2, página 2-2."
*,Responsabilidad compartida entre socios,,
,Responsabilidad limitada para cada socio,,
,Facilidad para obtener financiamiento,,
,Protección de activos personales,,
¿Cuál de las siguientes no es una característica de una corporación de tipo C?,1,"one, shuffle","Las corporaciones de tipo C tienen varias características, incluyendo la responsabilidad limitada y la capacidad de emitir acciones. Sin embargo, no tienen responsabilidad ilimitada para los accionistas. Consulta el Capítulo 2, página 2-4."
,Capacidad de emitir acciones,,
,Responsabilidad limitada para los accionistas,,
*,Responsabilidad ilimitada para los accionistas,,
,Doble imposición de los ingresos,,
¿Cuál es una ventaja de establecer una corporación?,1,"one, shuffle","Una ventaja de establecer una corporación es la facilidad para transferir propiedad a través de la venta de acciones, lo que no es tan sencillo en otras estructuras de negocio. Consulta el Capítulo 2, página 2-3."
*,Facilidad para transferir propiedad,,
,Responsabilidad personal ilimitada,,
,Complejidad en la administración,,
,Dificultad en la obtención de financiamiento,,
¿Cuál de las siguientes no es una desventaja de un propietario único?,1,"one, shuffle","Una desventaja del propietario único es la responsabilidad ilimitada. Sin embargo, la simplicidad en la administración es una ventaja significativa de esta estructura. Consulta el Capítulo 2, página 2-1."
,Responsabilidad ilimitada,,
,Dificultad en obtener financiamiento,,
,Riesgo personal de los activos,,
*,Simplicidad en la administración,,
¿Qué ventaja tiene una sociedad sobre otras estructuras de negocio?,1,"one, shuffle","Una ventaja de las sociedades es la capacidad de combinar recursos y habilidades de los socios, lo que puede fortalecer la gestión y operación del negocio. Consulta el Capítulo 2, página 2-2."
,Responsabilidad personal ilimitada,,
,Dificultad en la transferencia de propiedad,,
,Complejidad en la administración,,
*,Combinar recursos y habilidades de los socios,,
¿Cuál de las siguientes no es una ventaja de una corporación?,1,"one, shuffle","Una ventaja de las corporaciones incluye la facilidad para transferir propiedad y responsabilidad limitada, pero una desventaja importante es la doble imposición de ingresos. Consulta el Capítulo 2, página 2-3."
,Responsabilidad limitada,,
,Facilidad para transferir propiedad,,
*,Doble imposición de ingresos,,
,Flexibilidad en la obtención de capital,,
¿Qué característica es común en las Compañías de Responsabilidad Limitada (LLC)?,1,"one, shuffle","Una característica clave de las LLC es la responsabilidad limitada que protege los activos personales de los propietarios frente a las deudas y obligaciones del negocio. Consulta el Capítulo 2, página 2-4."
*,Responsabilidad limitada para los propietarios,,
,Doble imposición de los ingresos,,
,Complejidad en la formación y gestión,,
,Facilidad en la transferencia de propiedad,,
¿Cuál de las siguientes no es una ventaja de un propietario único?,1,"one, shuffle","Una desventaja significativa de un propietario único es la responsabilidad ilimitada, mientras que la simplicidad en la administración es una ventaja. Consulta el Capítulo 2, página 2-1."
,Simplicidad en la administración,,
,Control total del negocio,,
,Facilidad en la toma de decisiones,,
*,Responsabilidad limitada,,
¿Cuál es una ventaja de una sociedad?,1,"one, shuffle","Una ventaja de una sociedad es la capacidad de combinar recursos y habilidades de los socios, lo que puede fortalecer la gestión y operación del negocio. Consulta el Capítulo 2, página 2-2."
*,Combinación de recursos y habilidades,,
,Responsabilidad personal por las deudas,,
,Complejidad en la administración,,
,Dificultad en la transferencia de propiedad,,
¿Qué característica es común en las corporaciones de tipo S?,1,"one, shuffle","Una característica de las corporaciones de tipo S es que permiten a los accionistas evitar la doble imposición de los ingresos, lo cual es una ventaja fiscal significativa. Consulta el Capítulo 2, página 2-4."
*,Evitar la doble imposición de los ingresos,,
,Responsabilidad ilimitada para los accionistas,,
,Dificultad en la transferencia de propiedad,,
,Complejidad en la administración,,
¿Cuál es una ventaja de establecer una sociedad?,1,"one, shuffle","Una ventaja de una sociedad es que permite combinar recursos y habilidades de los socios, mejorando la capacidad de gestión y operación del negocio. Consulta el Capítulo 2, página 2-2."
*,Combinar recursos y habilidades,,
,Responsabilidad limitada para los socios,,
,Dificultad en la obtención de financiamiento,,
,Complejidad en la administración,,
¿Cuál de las siguientes no es una característica de un propietario único?,1,"one, shuffle","Un propietario único es responsable de todas las decisiones y obligaciones del negocio, y no tiene responsabilidad limitada. Consulta el Capítulo 2, página 2-1."
,Control total del negocio,,
,Facilidad en la toma de decisiones,,
*,Responsabilidad limitada,,
,Responsabilidad directa sobre el negocio,,
¿Qué ventaja tiene una Compañía de Responsabilidad Limitada (LLC)?,1,"one, shuffle","<p>Una ventaja importante de una LLC es la responsabilidad limitada, que protege los activos personales de los propietarios frente a las deudas del negocio. Consulta el Capítulo 2, página 2-4.</p>"
*,<p>Recompensas de ganancias directas </p>,,
,Complejidad en la administración,,
,Doble imposición de los ingresos,,
,Facilidad en la transferencia de propiedad,,
¿Cuál de las siguientes no es una ventaja de una corporación de tipo S?,1,"one, shuffle","Las corporaciones de tipo S permiten a los accionistas evitar la doble imposición de los ingresos y ofrecer responsabilidad limitada. Sin embargo, una ventaja no es la responsabilidad ilimitada para los accionistas. Consulta el Capítulo 2, página 2-4."
,Evitar la doble imposición de los ingresos,,
,Responsabilidad limitada,,
*,Responsabilidad ilimitada para los accionistas,,
,Flexibilidad fiscal,,
¿Qué desventaja tiene una corporación de tipo C?,1,"one, shuffle","Una desventaja significativa de las corporaciones de tipo C es la doble imposición de los ingresos, donde las ganancias se gravan tanto a nivel corporativo como de los accionistas. Consulta el Capítulo 2, página 2-4."
*,Doble imposición de los ingresos,,
,Facilidad para transferir propiedad,,
,Responsabilidad limitada,,
,Mayor acceso a financiamiento,,
¿Qué ventaja tiene una sociedad en comparación con otras estructuras de negocio?,1,"one, shuffle","Una ventaja de las sociedades es la capacidad de combinar recursos y habilidades de los socios, lo que puede fortalecer la gestión y operación del negocio. Consulta el Capítulo 2, página 2-2."
*,Combinar recursos y habilidades,,
,Responsabilidad personal ilimitada,,
,Dificultad en la transferencia de propiedad,,
,Complejidad en la administración,,
¿Qué característica es común en las corporaciones de tipo C?,1,"one, shuffle","Las corporaciones de tipo C permiten emitir acciones, ofrecer responsabilidad limitada a los accionistas y tienen la capacidad de acceder a mayores recursos financieros. Consulta el Capítulo 2, página 2-4."
*,Emitir acciones,,
,Doble imposición de los ingresos,,
,Responsabilidad ilimitada para los accionistas,,
,Flexibilidad fiscal,,
¿Cuál de las siguientes no es una desventaja de una sociedad?,1,"one, shuffle","Las sociedades tienen varias desventajas, incluyendo la responsabilidad personal por las deudas del negocio. Sin embargo, la flexibilidad en la gestión es una ventaja. Consulta el Capítulo 2, página 2-2."
,Responsabilidad personal por las deudas,,
,Dificultad en la transferencia de propiedad,,
*,Flexibilidad en la gestión,,
,Posible conflicto entre socios,,
¿Cuál es una ventaja de una corporación en general?,1,"one, shuffle","Una ventaja de establecer una corporación es la facilidad para transferir propiedad a través de la venta de acciones, lo que no es tan sencillo en otras estructuras de negocio. Consulta el Capítulo 2, página 2-3."
*,Facilidad para transferir propiedad,,
,Responsabilidad personal ilimitada,,
,Complejidad en la administración,,
,Dificultad en la obtención de financiamiento,,
¿Cuál de las siguientes no es una ventaja de una Compañía de Responsabilidad Limitada (LLC)?,1,"one, shuffle","Una LLC proporciona a sus propietarios responsabilidad limitada y flexibilidad en la gestión, pero puede tener mayores costos iniciales y complejidades fiscales. Consulta el Capítulo 2, página 2-4."
,Flexibilidad en la gestión,,
,Responsabilidad limitada,,
*,Mayores costos iniciales,,
,Evitar la doble imposición de los ingresos,,
¿Qué ventaja tiene un fideicomiso comercial en comparación con otras estructuras de negocio?,1,"one, shuffle","Un fideicomiso comercial puede proporcionar una gestión centralizada y proteger los activos comerciales, permitiendo una planificación a largo plazo eficiente. Consulta el Capítulo 2, página 2-5."
*,Protección de activos y planificación a largo plazo,,
,Complejidad en la administración,,
,Responsabilidad personal ilimitada,,
,Mayor facilidad para obtener financiamiento,,
¿Qué ventaja tiene una Compañía de Responsabilidad Limitada (LLC) sobre otras estructuras de negocio?,1,"one, shuffle","Una ventaja importante de una LLC es la responsabilidad limitada, que protege los activos personales de los propietarios frente a las deudas del negocio. Consulta el Capítulo 2, página 2-4."
*,Responsabilidad limitada,,
,Complejidad en la administración,,
,Doble imposición de los ingresos,,
,Facilidad en la transferencia de propiedad,,
¿Cuál de las siguientes no es una ventaja de una sociedad?,1,"one, shuffle","Una ventaja de una sociedad es que permite combinar recursos y habilidades de los socios, mejorando la capacidad de gestión y operación del negocio. Consulta el Capítulo 2, página 2-2."
*,Responsabilidad limitada para los socios,,
,Combinar recursos y habilidades,,
,Facilidad en la formación de la entidad,,
,Distribución de ganancias y pérdidas,,
¿Cuál de las siguientes no es una característica de un propietario único?,1,"one, shuffle","Un propietario único es responsable de todas las decisiones y obligaciones del negocio, y no tiene responsabilidad limitada. Consulta el Capítulo 2, página 2-1."
,Control total del negocio,,
,Facilidad en la toma de decisiones,,
*,Responsabilidad limitada,,
,Responsabilidad directa sobre el negocio,,
¿Qué desventaja tiene una sociedad en comparación con otras estructuras de negocio?,1,"one, shuffle","Una desventaja significativa de una sociedad es que los socios son personalmente responsables por las deudas del negocio, lo que puede poner en riesgo sus activos personales. Consulta el Capítulo 2, página 2-2."
*,Responsabilidad personal por las deudas del negocio,,
,Flexibilidad en la gestión,,
,Facilidad para formar la entidad,,
,Distribución de ganancias y pérdidas,,
¿Cuál de las siguientes no es una característica de una corporación de tipo C?,1,"one, shuffle","Las corporaciones de tipo C tienen varias características, incluyendo la responsabilidad limitada y la capacidad de emitir acciones. Sin embargo, no tienen responsabilidad ilimitada para los accionistas. Consulta el Capítulo 2, página 2-4."
,Capacidad de emitir acciones,,
,Responsabilidad limitada para los accionistas,,
*,Responsabilidad ilimitada para los accionistas,,
,Doble imposición de los ingresos,,
¿Cuál es una desventaja de un propietario único?,1,"one, shuffle","Una desventaja del propietario único es la responsabilidad ilimitada. Sin embargo, la simplicidad en la administración es una ventaja significativa de esta estructura. Consulta el Capítulo 2, página 2-1."
*,Responsabilidad ilimitada,,
,Simplicidad en la administración,,
,Control total del negocio,,
,Facilidad en la toma de decisiones,,
¿Qué ventaja tiene una corporación de tipo S sobre otras estructuras de negocio?,1,"one, shuffle","Una ventaja de una corporación de tipo S es que permite a los accionistas evitar la doble imposición de los ingresos, pasando los ingresos y pérdidas directamente a los accionistas. Consulta el Capítulo 2, página 2-4."
*,Evitar la doble imposición de los ingresos,,
,Complejidad en la administración,,
,Responsabilidad ilimitada para los accionistas,,
,Dificultad en la transferencia de propiedad,,
¿Cuál de las siguientes no es una característica de una sociedad?,1,"one, shuffle","Una sociedad implica responsabilidad compartida y la combinación de recursos y habilidades de los socios, pero no ofrece responsabilidad limitada. Consulta el Capítulo 2, página 2-2."
,Propiedad compartida entre dos o más personas,,
,Combinación de recursos y habilidades,,
*,Responsabilidad limitada para los socios,,
,Responsabilidad personal por las deudas,,
¿Cuál es una desventaja de una Compañía de Responsabilidad Limitada (LLC)?,1,"one, shuffle","Una desventaja de una LLC es que puede tener mayores costos iniciales y complejidades fiscales, a pesar de ofrecer responsabilidad limitada y flexibilidad en la gestión. Consulta el Capítulo 2, página 2-4."
*,Mayores costos iniciales,,
,Responsabilidad limitada para los propietarios,,
,Flexibilidad en la gestión,,
,Evitar la doble imposición de los ingresos,,
¿Qué ventaja tiene una LLC sobre una corporación en términos de impuestos?,1,"one, shuffle","Una LLC ofrece ventajas fiscales al permitir la tributación directa, lo que significa que los ingresos y pérdidas del negocio pueden pasar directamente a los propietarios, evitando la doble imposición que enfrentan las corporaciones. Ver Capítulo 2, página 2-4."
,Mayor formalidad operativa,,
,Responsabilidad limitada,,
*,Tributación directa,,
,Acceso a mercados de capital,,
¿Cuál es una ventaja de una estructura de propietario único en términos de control?,1,"one, shuffle","En una estructura de propietario único, el propietario tiene control total sobre todas las decisiones del negocio, lo que puede permitir una toma de decisiones rápida y flexible. Ver Capítulo 2, página 2-2."
,Separación legal entre el propietario y el negocio,,
,Acceso a capital a gran escala,,
*,Control total del propietario,,
,Responsabilidad limitada,,
¿Cuál de las siguientes no es una ventaja de una sociedad en términos de capital?,1,"one, shuffle","Una sociedad puede tener acceso a más capital debido a la capacidad de los socios para contribuir recursos. Sin embargo, esta estructura no proporciona la misma separación legal y protección de activos que una corporación o LLC. Ver Capítulo 2, página 2-3."
*,Separación legal entre socios y negocio,,
,Contribución de recursos por parte de los socios,,
,Acceso a más capital,,
,Facilidad de formación,,
¿Cuál es una desventaja de una corporación tipo C en términos fiscales?,1,"one, shuffle","Una de las desventajas fiscales de una corporación tipo C es la doble imposición, donde los ingresos de la corporación se gravan tanto a nivel corporativo como a nivel de los accionistas cuando se distribuyen dividendos. Ver Capítulo 2, página 2-4."
,Capacidad de emitir acciones,,
,Acceso a mercados de capital,,
*,Doble imposición,,
,Responsabilidad limitada,,
¿Qué desventaja tiene una corporación en comparación con una LLC?,1,"one, shuffle","Una de las desventajas de una corporación en comparación con una LLC es la mayor formalidad operativa y los requisitos de informes, que pueden ser más complejos y costosos de mantener. Ver Capítulo 2, página 2-4."
*,Mayor formalidad operativa,,
,Responsabilidad limitada,,
,Acceso a mercados de capital,,
,Tributación directa,,
¿Cuál de las siguientes es una ventaja de una sociedad en términos de recursos?,1,"one, shuffle","Una sociedad permite a los socios combinar sus recursos y habilidades, lo que puede resultar en una mayor capacidad para financiar el negocio y compartir la carga de trabajo. Ver Capítulo 2, página 2-3."
*,Combinación de recursos y habilidades,,
,Responsabilidad ilimitada,,
,Complejidad en la toma de decisiones,,
,Flexibilidad limitada,,
¿Cuál de las siguientes es una desventaja de una corporación tipo S en comparación con una LLC?,1,"one, shuffle","Una corporación tipo S tiene restricciones en el número y tipo de accionistas permitidos, lo que puede limitar su flexibilidad en comparación con una LLC. Ver Capítulo 2, página 2-5."
,Responsabilidad limitada,,
*,Restricciones en el número y tipo de accionistas,,
,Evitación de la doble imposición,,
,Transferencia de ingresos y pérdidas a los accionistas,,
¿Qué ventaja tiene una estructura de propietario único en términos de impuestos?,1,"one, shuffle","Una estructura de propietario único permite una tributación directa, donde los ingresos del negocio se gravan solo una vez como ingresos personales del propietario. Ver Capítulo 2, página 2-2."
*,Tributación directa,,
,Responsabilidad ilimitada,,
,Separación legal entre propietario y negocio,,
,Facilidad para recaudar capital,,
¿Cuál de las siguientes es una desventaja de una sociedad en términos de administración?,1,"one, shuffle","Una desventaja de una sociedad es la responsabilidad ilimitada que comparten los socios y los posibles desacuerdos que pueden surgir entre ellos. Ver Capítulo 2, página 2-3."
,Responsabilidad ilimitada,,
,Estructura de administración rígida,,
*,Posibles desacuerdos entre socios,,
,Complejidad en la toma de decisiones,,
¿Cuál de las siguientes no es una ventaja de una estructura de propietario único en términos de costos?,1,"one, shuffle","Una estructura de propietario único es generalmente menos costosa de formar y mantener en comparación con otras estructuras de negocios, como las corporaciones o las LLC. Sin embargo, no ofrece protección de responsabilidad. Ver Capítulo 2, página 2-2."
,Formación menos costosa,,
,Menores costos operativos,,
*,Protección de responsabilidad,,
,Menores requisitos de informes,,
¿Cuál de las siguientes es una desventaja de una sociedad en términos de responsabilidad?,1,"one, shuffle","En una sociedad, los socios tienen responsabilidad ilimitada, lo que significa que cada socio es personalmente responsable por las deudas y obligaciones del negocio. Ver Capítulo 2, página 2-3."
,Flexibilidad operativa,,
,Acceso a más capital,,
*,Responsabilidad ilimitada,,
,Facilidad de formación,,
